source,brand,title,price,unit_price,total_count,url,image_url,product_highlights
D2C_Hunter,配方時代,配方時代海藻鈣｜三大關鍵成分皆足量添加，幫助高效補充鈣質 - 配方時代,850,0.0,0,https://healthformula.com.tw/ca/,https://healthformula.com.tw/wp-content/uploads/2025/02/海藻鈣-1.gif,
D2C_Hunter,配方時代,配方時代 三倍好眠專利GABA,850,19.67,60,https://healthformula.com.tw/gaba-complex/,https://healthformula.com.tw/wp-content/uploads/2026/01/202602新春優惠-主圖_GABA.jpg,日本市佔第一專利GABA;搭配三大強效成分;關鍵成分足量添加;成分安全、無負擔;日本 Pharma GABA;愛爾蘭 Aquamin-F;印度 Sesavita;HACCP / ISO22000 食安雙認證
D2C_Hunter,大研生醫,海藻鈣海洋精華膠囊,1125,12.5,60,https://www.daikenshop.com/product.php?code=4710255451095,https://imgc.daikenshop.com/shop/upload_product/1752129463.jpg,珍稀鈣源｜來自潔淨海域，500mg高含量海藻鈣自然好吸收;黃金配比｜法國純淨Simag™海洋鎂，鈣鎂2:1黃金比例更穩定;雙重導引｜植萃維生素D3＋K2-7，協助鈣質有效運用;純淨安心｜全素無添加、A.A.一星的純淨補鈣首選;Aquamin®愛爾蘭紅藻鈣;Simag™ 法國海洋鎂;Cultavit® 蕎麥維生素D3;美國FDA GRAS 認證的維生素K2-7
D2C_Hunter,大研生醫,德國專利苦瓜胜肽膠囊EX，升級添加D3調節生理機能,2970,33.0,60,https://www.daikenshop.com/product.php?code=4710255450869,https://imgc.daikenshop.com/shop/upload_product/1722325439.jpg,德國專利苦瓜胜肽;300倍活性苦瓜胜肽;專利肉桂萃取;鋅+鉻;10倍桑葉萃取;瑞士DSM頂級維生素 D3;3%肉桂萃取物;ConstanGI®專利萃取苦瓜胜肽;美國唐可寧Cinnulin PF®肉桂萃取物
D2C_Hunter,大研生醫,【顧胃防逆】健好衛高麗菜精乳酸菌粉包,1980,0.0,24,https://www.daikenshop.com/product.php?code=4710255450371,https://imgc.daikenshop.com/shop/upload_product/1766475649.jpg,高麗菜精;法國專利AP268熱去活菌;高純度麩醯胺酸;菸鹼素;台灣猴頭菇子實體萃取;黑木耳＋銀耳膠質;AA潔淨無添加;全素可食
D2C_Hunter,大研生醫,綜合維他命緩釋膜衣錠,960,640.0,60,https://www.daikenshop.com/product.php?code=4710255450074,https://imgc.daikenshop.com/shop/upload_product/fb_1552473207.jpg,緩釋膜衣錠，長效12h;頂規｜全方位補足人體所需維生素與礦物質，為健康打底;足量｜維生素A 維持黏膜健康;足量｜維生素B1 維持心臟和神經系統功能;有感｜菸鹼素增進神經系統、粘膜及消化系統的健康;長效｜長效型錠劑，營養素12小時長時間釋放不間斷;膜衣錠升級，無添加二氧化鈦;國際AA潔淨無添加認證
D2C_Hunter,大研生醫,【陳美鳳推薦】Omega-3 84%高濃度深海魚油推薦品牌- 大研生醫,1980,0.0,60,https://www.daikenshop.com/product.php?code=4710255450036,https://imgc.daikenshop.com/shop/upload_product/1736326758.jpg,德國KD大廠合作製造，榮獲21+3項國際專利肯定;嚴選Omega-3脂肪酸84%以上的高濃度魚油;rTG型態魚油，吸收率124%有感升級;通過A.A.潔淨無添加三星認證，品質安心;99.3%顧客回購率，口碑真實看得見;IFOS魚油最高品質認證;Monde Selection 世界品質大賞特級金獎;A.A. Clean Label 國際AA潔淨無添加;SNQ 國家品質標章;德、日、台國際專利
D2C_Hunter,大研生醫,B群緩釋雙層錠,900,20.0,30,https://www.daikenshop.com/product.php?code=4710255450333,https://imgc.daikenshop.com/shop/upload_product/fb_1611559304.jpg,專利長效Time-Release製程;添加五味子;添加牛磺酸;添加生命元素酵母硒;添加鋅;全素可食
D2C_Hunter,大研生醫,Omega-3 84%高濃度深海魚油推薦〖EX升級+維生素D3〗,2250,28.0,60,https://www.daikenshop.com/product.php?code=4710255450845,https://imgc.daikenshop.com/shop/upload_product/1721284806.jpg,德國 KD Pharma 大廠出品，多項國際專利，卓越生產技術;嚴選Omega-3 脂肪酸高達84%以上的高濃度魚油;添加瑞士DSM頂級維生素 D3，有助提升保護力、調節生理機能;rTG 型式好吸收，魚油高濃度、高純化、高吸收，極致新鮮;KD Pharma品質國際認證;榮獲IFOS、美國藥典USP、歐洲藥典CEP認證;SGS定期送驗;專利萃取技術，無溶劑殘留;榮獲海洋之友FOS、歐盟生態管理及稽核EMAS認證;添加瑞士DSM頂級Quali®-D維生素 D3
D2C_Hunter,大研生醫,日本大研1000億乳酸菌粉包,2250,50.0,30,https://www.daikenshop.com/product.php?code=4595056949060,https://imgc.daikenshop.com/shop/upload_product/1755238733.jpg,"激量｜足量添加1,000億熱去活乳酸菌，幫助改變細菌叢生態，消化好體質;專業｜嚴選五支科學實證熱去活乳酸菌株;溫和｜添加3種人體來源好菌，從根本提升保護力;全面｜全年守護健康，換季或敏感時期也能穩定體質;嚴選黃金比例好菌配方;精選 5 支高效乳酸菌（含比菲德氏菌）來源菌株;添加 3 支人體來源菌株;幫助好菌發揮作用的好夥伴 菊苣纖維、果寡糖;日本加熱封存技術保存有效成分;日本GMP認證工廠生產品質安心有保障"
