source,brand,title,price,unit_price,url,image_url,product_highlights,total_count
Vitabox,Vitabox,【抗疲勞專科】TWK10® 乳酸菌膠囊,20160,0,https://shop.vitabox.com.tw/products/twk10-probiotic,,研發新作＋健字號核准 ;  ;;;;                 加入購物車 ;        ,
Vitabox,Vitabox,【免疫專科】日本 L-137® 專利植物乳酸菌(免疫調節+輔助調節過敏體質),15360,0,https://shop.vitabox.com.tw/products/lactobacillus,,雙功效健字號 ;  ;;;;                 加入購物車 ;         ;; ,
Vitabox,Vitabox,【素食專科】挪威 73% Omega-3 高濃度新鮮藻油 (DHA+EPA),16200,0,https://shop.vitabox.com.tw/products/algaeoil-omega-3,,配方升級 ;  ;;;;                 加入購物車 ;         ;;   ,
Vitabox,Vitabox,【晶亮專科】7 合 1 美國專利 FloraGLO® ​游離型葉黃素+玉米黃素+雙重花青素,11040,0,https://shop.vitabox.com.tw/products/lutein,,經典配方 ;  ;;;;                 加入購物車 ;         ;;   ,
Vitabox,Vitabox,【關鍵專科】美國專利 UC-II®+高效葡萄糖胺+C3 超級薑黃素,21360,0,https://shop.vitabox.com.tw/products/uc2,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【呵護專科】西班牙蔓越莓+D-甘露糖+超效益生菌,6480,0,https://shop.vitabox.com.tw/products/cranberry,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【入睡專科】日本專利 GABA+97% 高濃度芝麻素+海洋鎂,8640,0,https://shop.vitabox.com.tw/products/gaba,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【光采專科】日本專利雙效膠原蛋白粉+玄米神經醯胺+西印度櫻桃 C,5880,0,https://shop.vitabox.com.tw/products/collagen,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【養護專科】美國專利 95% C3 超級薑黃素+牛樟芝子實體,12960,0,https://shop.vitabox.com.tw/products/c3-curcumin,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【消化專科】美國 19 種活性超級酵素+鳳梨酵素,5400,0,https://shop.vitabox.com.tw/products/enzyme,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【享受專科】美國高效白腎豆+非洲芒果籽+馬鈴薯萃取物(第三代) VITABOX®,7080,0,https://shop.vitabox.com.tw/products/white-kidney-bean-extract-african-mango-seed-sod-enzymes,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【戰神專科】600% 秘魯黑紅瑪卡+透納葉+L-精胺酸,11160,0,https://shop.vitabox.com.tw/products/maca-damiana,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【孕哺專科】97% 非基改大豆卵磷脂+初乳蛋白+ β-聚葡萄糖,7080,0,https://shop.vitabox.com.tw/products/lecithin,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【純淨專科】挪威 85% Omega-3 rTG 高濃度魚油 (EPA+DHA)｜第二代升級,13680,0,https://shop.vitabox.com.tw/products/fishoil-omega3,,經典配方 ;  ;;;;                 加入購物車 ;         ;;   ,
Vitabox,Vitabox,【挺固專科】愛爾蘭高比例海藻鈣+海洋鎂+鷹嘴豆 K2,4200,0,https://shop.vitabox.com.tw/products/calcium-algae,,經典配方 ;  ;;;;                 加入購物車 ;         ;;   ,
Vitabox,Vitabox,【順暢專科】LP28 超有感複合 300 億益生菌+綜合消化酵素,9360,0,https://shop.vitabox.com.tw/products/lp28-probiotics,,經典配方 ;  ;;;;                 加入購物車 ;         ;;   ,
Vitabox,Vitabox,【精進專科】歐洲天然鋅酵母+硒+西印度櫻桃 C,4680,0,https://shop.vitabox.com.tw/products/zinc,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【全能專科】蔬果萃取酵母綜合維生素礦物質,8160,0,https://shop.vitabox.com.tw/products/multivitamin,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【威猛專科】歐洲天然酵母維生素 B 群+ 2000% 頂級黑瑪卡+鋅酵母,5880,0,https://shop.vitabox.com.tw/products/b-complex-maca,,探索精選 ;  ;;;;                 加入購物車 ;         ;;   ,
Vitabox,Vitabox,【美妍專科】歐洲天然酵母維生素 B 群+Q10+專利鐵,5040,0,https://shop.vitabox.com.tw/products/female-bcomplex,,探索精選 ;  ;;;;                 加入購物車 ;         ;;   ,
Vitabox,Vitabox,【抗氧專科】法國西印度櫻桃萃取維生素 C,3480,0,https://shop.vitabox.com.tw/products/vitaminc,,探索精選 ;  ;;;;                 加入購物車 ;         ;;   ,
Vitabox,Vitabox,【陽光專科】歐洲天然酵母非活性維生素 D2,3840,0,https://shop.vitabox.com.tw/products/vitamin-d,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【孕婦專科】愛爾蘭高比例海藻鈣+海洋鎂+酵母維生素 D2,5040,0,https://shop.vitabox.com.tw/products/prenatal-calcium,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
Vitabox,Vitabox,【孕婦專科】義大利第四代活性葉酸+複合甘胺酸亞鐵+天然蕎麥 B12,6240,0,https://shop.vitabox.com.tw/products/folicacid-iron-c,,加入購物車 ;         ;;      ;    ;      ;        ;    ,
